area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,All Fixed Wireless,0.215031315,0.018789144,0.018789144,0.018789144,0.000000000,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,All Fixed Wireless,0.993736952,0.985386221,0.985386221,0.018789144,0,0.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,Licensed Fixed Wireless,0.215031315,0.018789144,0.018789144,0.018789144,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,Licensed Fixed Wireless,0.993736952,0.985386221,0.985386221,0.018789144,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,Copper,0,0,0.000000000,0,0,0
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,Copper,0,0.000000000,0,0,0,0
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,Cable,0,0,0.000000000,0,0,0
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,All Fixed Wireless,0.127906977,0.081395349,0.081395349,0,0,0.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,All Fixed Wireless,0.395348837,0.348837209,0.348837209,0,0,0.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,Licensed Fixed Wireless,0.127906977,0.081395349,0.081395349,0,0,0.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,Licensed Fixed Wireless,0.395348837,0.348837209,0.348837209,0,0,0.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,4600540,Akaska,"Akaska, SD",172,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,4600620,Albee,"Albee, SD",9,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,4600620,Albee,"Albee, SD",9,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,R,Cable,0,0.000000000,0,0,0,0
Total,Census Place,4600620,Albee,"Albee, SD",9,B,Cable,0,0.000000000,0,0,0,0
Total,Census Place,4600620,Albee,"Albee, SD",9,R,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4600620,Albee,"Albee, SD",9,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4600620,Albee,"Albee, SD",9,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4600620,Albee,"Albee, SD",9,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,4600620,Albee,"Albee, SD",9,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
