area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,Cable,0,0,0,0.000000000,0,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,Cable,0,0,0,0,0,0.000000000
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,Fiber,0.137931034,0.137931034,0.137931034,0.137931034,0.137931034,0.137931034
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,Fiber,0.137931034,0.137931034,0.137931034,0.137931034,0.137931034,0.137931034
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,All Fixed Wireless,0.051724138,0,0,0,0,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,All Fixed Wireless,0.051724138,0,0,0,0,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,Licensed Fixed Wireless,0.051724138,0,0.000000000,0,0,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,Licensed Fixed Wireless,0.051724138,0,0,0,0.000000000,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,Other,0,0,0,0,0.000000000,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,Other,0,0,0,0,0.000000000,0
Nontribal,Census Place,4967440,Sandy,"Sandy, UT",41937,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.983093688,0.915110761
Nontribal,Census Place,4967440,Sandy,"Sandy, UT",41937,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.977036984,0.655125545
Nontribal,Census Place,4967440,Sandy,"Sandy, UT",41937,R,All Wired,0.980589933,0.977561580,0.977275437,0.976393161,0.976130863,0.892314662
Nontribal,Census Place,4967440,Sandy,"Sandy, UT",41937,B,All Wired,0.976607769,0.972959439,0.972029473,0.968261917,0.967641939,0.518778167
